,Country Name,variable,value,rank
40,China,1960,59716467625.3148,4.0
77,France,1960,62225478000.8822,3.0
81,United Kingdom,1960,73233967692.1028,2.0
119,Japan,1960,44307342950.4,5.0
251,United States,1960,543300000000.0,1.0
306,China,1961,50056868957.6732,5.0
343,France,1961,67461644222.0352,3.0
347,United Kingdom,1961,77741965703.3544,2.0
385,Japan,1961,53508617739.3778,4.0
517,United States,1961,563300000000.0,1.0
609,France,1962,75607529809.9288,3.0
613,United Kingdom,1962,81247564156.8246,2.0
648,Italy,1962,50383891898.9911,5.0
651,Japan,1962,60723018683.7333,4.0
783,United States,1962,605100000000.0,1.0
875,France,1963,84759195105.8693,3.0
879,United Kingdom,1963,86561961812.3249,2.0
914,Italy,1963,57710743059.8341,5.0
917,Japan,1963,69498131797.3333,4.0
1049,United States,1963,638600000000.0,1.0
1141,France,1964,94007851047.3678,3.0
1145,United Kingdom,1964,94407558351.1616,2.0
1180,Italy,1964,63175417019.0094,5.0
1183,Japan,1964,81749006381.5111,4.0
1315,United States,1964,685800000000.0,1.0
1370,China,1965,70436266146.7219,5.0
1407,France,1965,101537248148.427,3.0
1411,United Kingdom,1965,101824755078.991,2.0
1449,Japan,1965,90950278257.7778,4.0
1581,United States,1965,743700000000.0,1.0
1636,China,1966,76720285969.6157,5.0
1673,France,1966,110045852177.928,2.0
1677,United Kingdom,1966,108572752102.045,3.0
1715,Japan,1966,105628070343.111,4.0
1847,United States,1966,815000000000.0,1.0
1939,France,1967,118972977486.207,3.0
1943,United Kingdom,1967,113116888210.787,4.0
1978,Italy,1967,81133120065.4202,5.0
1981,Japan,1967,123781880217.6,2.0
2113,United States,1967,861700000000.0,1.0
2205,France,1968,129785441507.456,3.0
2209,United Kingdom,1968,107759910067.889,4.0
2244,Italy,1968,87942231678.3505,5.0
2247,Japan,1968,146601072685.511,2.0
2379,United States,1968,942500000000.0,1.0
2471,France,1969,141903068680.309,3.0
2475,United Kingdom,1969,116464702803.218,4.0
2510,Italy,1969,97085082807.3751,5.0
2513,Japan,1969,172204199480.889,2.0
2645,United States,1969,1019900000000.0,1.0
2715,Germany,1970,215838448137.658,2.0
2737,France,1970,148456359985.827,4.0
2741,United Kingdom,1970,130671946244.3,5.0
2779,Japan,1970,212609187919.444,3.0
2911,United States,1970,1073303000000.0,1.0
2981,Germany,1971,249985055484.303,2.0
3003,France,1971,165966615366.402,4.0
3007,United Kingdom,1971,148113896325.14,5.0
3045,Japan,1971,240151807460.241,3.0
3177,United States,1971,1164850000000.0,1.0
3247,Germany,1972,299801542047.476,3.0
3269,France,1972,203494148244.473,4.0
3273,United Kingdom,1972,169965034965.035,5.0
3311,Japan,1972,318031297492.352,2.0
3443,United States,1972,1279110000000.0,1.0
3513,Germany,1973,398374021953.897,3.0
3535,France,1973,264429876252.21,4.0
3539,United Kingdom,1973,192537971582.558,5.0
3577,Japan,1973,432082670450.719,2.0
3709,United States,1973,1425376000000.0,1.0
3779,Germany,1974,445303484241.554,3.0
3801,France,1974,285552373158.756,4.0
3805,United Kingdom,1974,206131369798.971,5.0
3843,Japan,1974,479625998613.406,2.0
3975,United States,1974,1545243000000.0,1.0
4045,Germany,1975,490636517211.225,3.0
4067,France,1975,360832186018.051,4.0
4071,United Kingdom,1975,241756637168.142,5.0
4109,Japan,1975,521541905673.251,2.0
4241,United States,1975,1684904000000.0,1.0
4311,Germany,1976,519754453161.411,3.0
4333,France,1976,372319038514.067,4.0
4337,United Kingdom,1976,232614555256.065,5.0
4375,Japan,1976,586161858999.671,2.0
4507,United States,1976,1873412000000.0,1.0
4577,Germany,1977,600498238019.035,3.0
4599,France,1977,410279486493.715,4.0
4603,United Kingdom,1977,263066457352.172,5.0
4641,Japan,1977,721411786536.814,2.0
4773,United States,1977,2081826000000.0,1.0
4843,Germany,1978,740469983446.933,3.0
4865,France,1978,506707848837.209,4.0
4869,United Kingdom,1978,335883029721.956,5.0
4907,Japan,1978,1013612173518.84,2.0
5039,United States,1978,2351599000000.0,1.0
5109,Germany,1979,881345176608.686,3.0
