kch,kcmc,bfzcj,type,kcbj,xf,kcgsmc,kcxzmc,khfsmc,kkbmmc,xqmmc,xnmmc
003658,古埃及文明,99.0,通识课,主修,3.0,美育教育类,院公选课,考查,网络课程,1,2021-2022
003659,精读《乌合之众：大众心理研究》,100.0,通识课,主修,1.0,人文社会科学类,院公选课,考查,网络课程,1,2021-2022
B2523011,创业基础与实践Ⅱ,91.0,通识课,主修,0.5,,必修课,,创新创业学院,1,2021-2022
B3211106,形势与政策Ⅱ,90.0,通识课,主修,0.25,,必修课,考试,马克思主义学院,1,2021-2022
B3211109,形势与政策Ⅴ,95.0,通识课,主修,0.25,人文社会科学类,必修课,考试,马克思主义学院,1,2021-2022
B2523024,大学生发展规划与就业指导Ⅲ,88.0,通识课,主修,0.5,,必修课,,创新创业学院,1,2021-2022
B2023005,Java EE应用开发技术,95.0,专业课,主修,3.0,,选修课,,阿里云大数据应用学院,1,2021-2022
B2023008,数据仓库理论与实践,91.0,专业课,主修,2.5,,选修课,,阿里云大数据应用学院,1,2021-2022
B2021005,计算机网络,92.0,专业课,主修,3.5,,必修课,,阿里云大数据应用学院,1,2021-2022
B2011006,云计算与大数据,94.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,1,2021-2022
B2023006,Java海量数据分布式开发,97.0,专业课,主修,3.0,,选修课,,阿里云大数据应用学院,1,2021-2022
B2051005,大数据推荐系统实践,91.0,专业课,主修,4.0,,必修课,,阿里云大数据应用学院,1,2021-2022
