kch,kcmc,bfzcj,type,kcbj,xf,kcgsmc,kcxzmc,khfsmc,kkbmmc,xqmmc,xnmmc
003360,西方文明通论,99.4,通识课,主修,2.0,美育教育类,院公选课,考查,网络课程,1,2019-2020
003551,经济学原理（上）：中国故事,95.7,通识课,主修,2.0,人文社会科学类,院公选课,考查,网络课程,1,2019-2020
B0021001,军事理论,78.0,通识课,主修,2.0,,必修课,,学生处（校友工作和教育发展基金管理处）,1,2019-2020
B3011023,大学英语BⅠ,85.0,通识课,主修,3.0,,必修课,考试,公共外语教育学院,1,2019-2020
B2523007,大学生发展规划与就业指导Ⅰ,89.0,通识课,主修,0.5,,必修课,考查,创新创业学院,1,2019-2020
B3211101,思想道德修养与法律基础,87.0,通识课,主修,3.0,,必修课,考试,马克思主义学院,1,2019-2020
B3111017,高等数学A Ⅰ,96.0,通识课,主修,5.0,理工医综合类,必修课,考试,统计与数据科学学院,1,2019-2020
B0041006,校规校纪与安全教育,99.0,通识课,主修,1.0,,必修课,考试,学生处（校友工作和教育发展基金管理处）,1,2019-2020
B3211111,马克思主义中国化进程与青年学生使命担当Ⅰ,83.0,通识课,主修,0.5,哲学与社会学类,限选课,,马克思主义学院,1,2019-2020
B0041007,军事训练,80.0,通识课,主修,2.0,,必修课,考查,学生处（校友工作和教育发展基金管理处）,1,2019-2020
B2011078,大数据导论,90.0,专业课,主修,2.0,,必修课,考试,阿里云大数据应用学院,1,2019-2020
B2021009,C语言程序设计基础,94.0,专业课,主修,4.0,,必修课,考试,阿里云大数据应用学院,1,2019-2020
ty0016,网球,91.0,通识课,主修,1.0,,必修课,考试,体育科学学院,1,2019-2020
003509,创业创新领导力,100.0,通识课,主修,2.0,创新思维与方法类,院公选课,,创新创业学院,2,2019-2020
B3211102,中国近现代史纲要,84.0,通识课,主修,3.0,哲学与社会学类,必修课,考试,马克思主义学院,2,2019-2020
B3011024,大学英语BⅡ,92.0,通识课,主修,3.0,,必修课,考试,公共外语教育学院,2,2019-2020
B2011001,离散数学,94.0,专业课,主修,3.0,,必修课,,阿里云大数据应用学院,2,2019-2020
B2021001,数据结构,93.0,专业课,主修,3.5,,必修课,,阿里云大数据应用学院,2,2019-2020
B2021002,计算机组成原理,95.0,专业课,主修,3.5,,必修课,,阿里云大数据应用学院,2,2019-2020
B0021002,大学生心理健康教育,86.0,通识课,主修,2.0,,必修课,,学生处（校友工作和教育发展基金管理处）,2,2019-2020
B2051001,高级语言课程设计,95.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,2,2019-2020
B3111007,高等数学AⅡ,88.0,通识课,主修,5.0,,必修课,考试,统计与数据科学学院,2,2019-2020
ty0016,网球,87.0,通识课,主修,1.0,,必修课,考试,体育科学学院,2,2019-2020
B3211103,马克思主义基本原理概论,72.0,通识课,主修,3.0,哲学与社会学类,必修课,,马克思主义学院,1,2020-2021
B2523008,大学生发展规划与就业指导Ⅱ,81.0,通识课,主修,1.0,,必修课,,创新创业学院,1,2020-2021
B2523014,创新思维训练,98.0,通识课,主修,2.0,创新思维与方法类,院公选课,,创新创业学院,1,2020-2021
B3211107,形势与政策Ⅲ,87.0,通识课,主修,0.25,,必修课,,马克思主义学院,1,2020-2021
B3011025,大学英语BⅢ,94.0,通识课,主修,2.0,,必修课,考试,公共外语教育学院,1,2020-2021
B3211112,马克思主义中国化进程与青年学生使命担当Ⅱ,88.0,通识课,主修,0.5,哲学与社会学类,限选课,考查,马克思主义学院,1,2020-2021
B2021008,Java面向对象程序设计,93.0,专业课,主修,3,,必修课,,阿里云大数据应用学院,1,2020-2021
B2021003,操作系统,91.0,专业课,主修,3.5,,必修课,,阿里云大数据应用学院,1,2020-2021
B2011003,形式语言与自动机,98.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,1,2020-2021
B2021007,Python程序设计,93.0,专业课,主修,3.0,,必修课,,阿里云大数据应用学院,1,2020-2021
B2023002, 开源大数据核心技术,95.0,专业课,主修,3.0,,专业选修课,,阿里云大数据应用学院,1,2020-2021
B2023004,Web前端技术,99.0,专业课,主修,2.5,,专业选修课,,阿里云大数据应用学院,1,2020-2021
B2051002,数据结构与算法课程设计,95.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,1,2020-2021
B2051003,Linux操作系统,90.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,1,2020-2021
B3111010,线性代数A,90.0,通识课,主修,3.0,,必修课,考试,统计与数据科学学院,1,2020-2021
B3111013,概率论与数理统计B,80.0,通识课,主修,2.0,,必修课,考试,统计与数据科学学院,1,2020-2021
ty0022,武术（一）,95.0,通识课,主修,1.0,,必修课,考试,体育科学学院,1,2020-2021
003627,《春秋》导读,100.0,通识课,主修,2.0,人文社会科学类,院公选课,考查,网络课程,2,2020-2021
B3211104,毛泽东思想和中国特色社会主义理论体系概论,80.0,通识课,主修,5.0,哲学与社会学类,必修课,考试,马克思主义学院,2,2020-2021
B2523010,创业基础与实践Ⅰ,87.0,通识课,主修,1.0,,必修课,,创新创业学院,2,2020-2021
B3211105,形势与政策Ⅰ,80.0,通识课,主修,0.25,,必修课,考试,马克思主义学院,2,2020-2021
B3111116,大学物理导论,89.0,通识课,主修,2.0,理工医综合类,必修课,,统计与数据科学学院,2,2020-2021
B3211108,形势与政策Ⅳ,80.0,通识课,主修,0.25,人文社会科学类,必修课,考试,马克思主义学院,2,2020-2021
B3011026,大学英语BⅣ,90.0,通识课,主修,2.0,,必修课,考试,公共外语教育学院,2,2020-2021
B2011002,软件工程,95.0,专业课,主修,3.0,,必修课,,阿里云大数据应用学院,2,2020-2021
B2021004,数据库概论,90.0,专业课,主修,3.5,,必修课,,阿里云大数据应用学院,2,2020-2021
B2011005,阿里云大咖课堂,90.0,专业课,主修,0.5,,必修课,,阿里云大数据应用学院,2,2020-2021
B2021006,机器学习基础,99.0,专业课,主修,3.0,,必修课,,阿里云大数据应用学院,2,2020-2021
B2013002,企业大数据技术与应用,90.0,专业课,主修,2.0,,选修课,,阿里云大数据应用学院,2,2020-2021
B2023003,Python数据分析技术,90.0,专业课,主修,2.5,,选修课,,阿里云大数据应用学院,2,2020-2021
B2051004,MySQL数据库技术,91.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,2,2020-2021
B3131104,大学物理实验B,80.0,通识课,主修,1.0,理工医综合类,必修课,考查,统计与数据科学学院,2,2020-2021
ty0022,武术（二）,82.0,通识课,主修,1.0,,必修课,考试,体育科学学院,2,2020-2021
003658,古埃及文明,99.0,通识课,主修,3.0,美育教育类,院公选课,考查,网络课程,1,2021-2022
003659,精读《乌合之众：大众心理研究》,100.0,通识课,主修,1.0,人文社会科学类,院公选课,考查,网络课程,1,2021-2022
B2523011,创业基础与实践Ⅱ,91.0,通识课,主修,0.5,,必修课,,创新创业学院,1,2021-2022
B3211106,形势与政策Ⅱ,90.0,通识课,主修,0.25,,必修课,考试,马克思主义学院,1,2021-2022
B3211109,形势与政策Ⅴ,95.0,通识课,主修,0.25,人文社会科学类,必修课,考试,马克思主义学院,1,2021-2022
B2523024,大学生发展规划与就业指导Ⅲ,88.0,通识课,主修,0.5,,必修课,,创新创业学院,1,2021-2022
B2023005,Java EE应用开发技术,95.0,专业课,主修,3.0,,选修课,,阿里云大数据应用学院,1,2021-2022
B2023008,数据仓库理论与实践,91.0,专业课,主修,2.5,,选修课,,阿里云大数据应用学院,1,2021-2022
B2021005,计算机网络,92.0,专业课,主修,3.5,,必修课,,阿里云大数据应用学院,1,2021-2022
B2011006,云计算与大数据,94.0,专业课,主修,2.0,,必修课,,阿里云大数据应用学院,1,2021-2022
B2023006,Java海量数据分布式开发,97.0,专业课,主修,3.0,,选修课,,阿里云大数据应用学院,1,2021-2022
B2051005,大数据推荐系统实践,91.0,专业课,主修,4.0,,必修课,,阿里云大数据应用学院,1,2021-2022
