,Jobs Name,Companies Name,Welfare,Education
0,Python软件开发工程师,江门市安豪贸易有限公司,五险一金 绩效奖金 专业培训 定期体检 员工旅游 月休6天,大专
1,Python开发高级工程师,广东众图科技有限公司,五险一金 周末双休 带薪年假 专业培训 绩效奖金 团队聚餐 员工旅游,大专
2,Python开发助理,深圳市一苣技术有限公司,五险一金 补充医疗保险 员工旅游 交通补贴 绩效奖金 年终奖金 弹性工作 定期体检 周末双休,大专
3,Python架构师,深圳市云盾科技有限公司,五险一金 绩效奖金 股票期权 年终奖金 餐饮补贴 通讯补贴 带薪年假,本科
4,python 爬虫开发,青岛同济孵化器有限公司,五险一金 年终奖金 绩效奖金 年终分红 餐饮补贴 带薪年假 周末双休,本科
5,（产研二部）python后端工程师,浙江木链物联网科技有限公司,五险一金 专业培训 绩效奖金 年终奖金,本科
6,Python爬虫开发工程师,深圳市前海房极客网络科技有限公司,股票期权 弹性工作 五险一金,大专
7,PYTHON开发工程师（年底双薪+五险一金）,广州烽云信息科技有限公司,五险一金 周末双休 带薪年假 全勤奖 节日福利 通讯补贴 交通补贴 补充医疗保险 员工旅游 年终奖金,本科
8,Python开发工程师,易宝软件（东莞）有限公司,,本科
9,Python开发工程师,东莞市找大状互联网技术有限公司,,本科
10,Python开发工程师,上海华铭智能终端设备股份有限公司,,本科
11,Python开发工程师,壹沓科技（上海）有限公司,,本科
12,Python 开发工程师,广州市西美信息科技有限公司,五险一金 绩效奖金 专业培训 弹性工作 员工旅游 周末双休 餐饮补贴,本科
13,Python开发工程师,伦伟实业,五险一金 交通补贴 年终奖金 带薪年假 绩效奖金 节日福利,大专
14,Python开发工程师,广东博士科技有限公司,五险一金 交通补贴 年终奖金 绩效奖金,本科
15,Python高级开发工程师,道富信息科技（浙江）有限公司,五险一金 补充医疗保险 免费班车 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 年终奖金,本科
16,Python开发工程师(J11836),东北证券股份有限公司,,本科
17,软件工程师（Python/GUI）,澜起科技股份有限公司,五险一金 员工旅游 餐饮补贴 年终奖金 定期体检,本科
18,Python开发工程师,广东大冶摩托车技术有限公司,五险一金 员工旅游 年终奖金 绩效奖金 包三餐 包住宿 带薪年假 全勤奖,本科
19,全栈开发 （Java，python）,PwC 普华永道,,本科
20,Python开发工程师(J13291),福建博思软件股份有限公司,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,本科
21,后端Python开发工程师,浙江禾川科技股份有限公司,,本科
22,Python开发工程师,中科创达软件股份有限公司,五险一金 定期体检 餐饮补贴 专业培训 弹性工作,大专
23,Python开发工程师,浩鲸云计算科技股份有限公司,,本科
24,Python开发,成都聚思力信息技术有限公司,周末双休 带薪年假 五险一金,本科
25,Python开发工程师（成都）,上海华讯网络系统有限公司,五险一金 补充医疗保险 补充公积金 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,本科
26,Python开发工程师,成都迈思信息技术有限公司,五险一金 年终奖金 弹性工作,本科
27,Python高级开发工程师,博彦科技股份有限公司,五险一金 专业培训 弹性工作 定期体检 年终奖金,本科
28,Python开发工程师/500强/双休/不加班,纬创软件（武汉）有限公司,年终奖金 定期体检 员工旅游 员工体检 员工生日会 部门团建 六险一金,大专
29,研发工程师（python）(J12961）,视联动力信息技术股份有限公司,五险一金 补充医疗保险 通讯补贴 电脑补助 员工旅游 绩效奖金 定期体检,本科
30,Python & C++ Developer,瑞银企业管理（中国）有限公司,五险一金 年终奖金 出国机会 补充医疗保险,本科
31,Python开发工程师,杭州三汇数字信息技术有限公司,五险一金 交通补贴 餐饮补贴 年终奖金 定期体检 员工旅游,本科
32,软件开发工程师-python,杭州宏杉科技股份有限公司,五险一金 带薪年假 专业培训 年终奖金 补充医疗保险 节日福利 育儿假 定期体检,本科
33,Python开发工程师 s,紫光云数科技有限公司,,本科
34,Python 高级软件工程师,上海国微思尔芯技术股份有限公司,五险一金 弹性工作 股票期权 年终奖金 餐饮补贴 绩效奖金,本科
35,Python开发工程师,紫光云数科技有限公司,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 定期体检 商业保险 生日礼金 过节费,本科
36,Python开发工程师(J12915),北京天融信网络安全技术有限公司,五险一金 补充医疗保险 专业培训 通讯补贴 交通补贴 绩效奖金 弹性工作,本科
37,海淀区-Python开发工程师,武汉光庭信息技术股份有限公司,五险一金 补充医疗保险 年终奖金 定期体检 节日福利,本科
38,软件开发中级工程师（Python）,福建新大陆软件工程有限公司,五险一金 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 免费班车,本科
39,java/Python软件工程师,四川长虹网络科技有限责任公司,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 弹性工作 餐饮补贴 交通补贴,本科
40,Python工程师(J10154),浙江诺诺网络科技有限公司,五险一金 弹性工作 年终奖金 加班晚餐,本科
41,Python工程师,重庆傲雄在线信息技术有限公司,餐饮补贴 年终奖金 周末双休 五险一金 做五休二 节日福利,大专
42,Python高级研发工程师,四川长虹电器股份有限公司,周末双休 绩效奖金 五险一金 带薪年假 餐饮补贴,本科
43,Python开发工程师,中盈优创资讯科技有限公司,绩效奖金 五险一金 节日福利 通讯补贴,本科
44,Python开发工程师,思佰益必智信息技术（大连）有限公司,,本科
45,Python开发工程师,鼎桥通信技术有限公司,五险一金 弹性工作 补充医疗保险 定期体检 补充公积金 专业培训 员工旅游 绩效奖金 年终奖金 股票期权,本科
46,Python工程师,博彦科技（深圳）有限公司,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 13薪,本科
47,Python开发工程师（深圳）,诚迈科技（南京）股份有限公司,五险一金 周末双休 弹性工作 节日福利 带薪年假,大专
48,RPA工程师（Python，机器人流程自动化）,北京南天软件有限公司,,本科
49,python,北京信安世纪科技股份有限公司,五险一金 餐饮补贴 带薪年假 通讯补贴 周末双休 节日福利 专业培训 补充医疗保险 定期体检,本科
