,Jobs_name,Companies_name,Welfare,Education
0,Python开发工程师,点奇互联（北京）科技有限公司,五险一金 补充医疗保险 补充公积金 通讯补贴 年终奖金 餐饮补贴 绩效奖金 定期体检 弹性工作 专业培训,大专
1,Python开发工程师,武汉游必游网络科技有限公司南昌分公司,五险一金 绩效奖金 年终奖金 定期体检 包中餐 下午茶 周末双休,大专
2,Python开发工程师,北京点点智联科技有限公司,双休 定期体检 生日节日福利 项目绩效奖金 每年多次调薪 带薪培训 带薪年假,大专
3,Python开发工程师,壹沓科技（上海）有限公司,,本科
4,Python开发,广州鑫尼网络科技有限公司,带薪年假 五险一金 绩效奖金 节日福利 专业培训 下午茶,大专
5,Python算法开发工程师,北京经世万方信息技术有限公司,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,本科
6,Python高级研发工程师,四川长虹电器股份有限公司,周末双休 绩效奖金 五险一金 带薪年假 餐饮补贴,本科
7,Python高级开发工程师,上海轩田工业设备有限公司,五险一金 年终奖金 专业培训,本科
8,Python开发工程师,上海兆殷特科技有限公司,五险一金 绩效奖金 弹性工作 专业培训 大厂,本科
9,Python算法平台开发工程师,上海近观科技有限责任公司,,本科
10,Python开发工程师,乌海市信仰电子科技有限公司,转正五险 专业培训 绩效奖金 年终奖金 股票期权 茶歇 延时工作补贴 团建,本科
11,Python Developer,大连博创人力资源开发有限公司,五险一金 年终奖金 节日福利 晋升空间 餐饮补贴,本科
12,金融python开发,杭州智君信息科技有限公司,带薪年假 五险一金 节日福利,本科
13,Python开发工程师,深圳市联华世纪通信技术有限公司,五险一金 绩效奖金 全勤奖 节日福利 专业培训 周末双休 带薪年假 员工旅游 生日福利 月度聚餐,本科
14,python开发工程师,广州点亿汽车科技服务有限公司,带薪年假 节日福利 五险一金 双休 不加班 1天7小时,大专
15,Python开发助理,深圳市一苣技术有限公司,五险一金 补充医疗保险 员工旅游 交通补贴 绩效奖金 年终奖金 弹性工作 定期体检 周末双休,大专
16,Python开发工程师,优耐特（上海）动力技术有限公司,年终奖金 五险一金 餐饮补贴 定期体检 免费班车 员工旅游 专业培训 绩效奖金 周末双休 带薪年假,大专
17,Python开发工程师,上海云卯信息科技有限公司,,本科
18,Python开发工程师,深圳市睿服科技有限公司,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 员工体检,本科
19,Python/C++/开发/工程师/架构/金融,云南和润投资管理有限公司,周末双休 节日福利 公司自有食堂 员工旅游 年终奖金 出国机会 五险一金,本科
20,Python开发工程师,苏州益谱电磁科技有限公司,五险一金 交通补贴 弹性工作 年终奖金 专业培训,本科
21,Python 开发工程师（急聘）,百令信息科技（上海）有限公司,五险一金 年终奖金 员工旅游 专业培训 不加班 不出差 半年度奖金 节日福利 带薪年假,本科
22,Python后端开发工程师,成都数智风科技有限公司,五险一金 员工旅游 专业培训 餐饮补贴 通讯补贴 绩效奖金 年终奖金 弹性工作 定期体检,本科
23,Python开发工程师（深圳）,诚迈科技（南京）股份有限公司,五险一金 周末双休 弹性工作 节日福利 带薪年假,大专
24,高级后端开发工程师（python）,上海爱数信息技术股份有限公司,做五休二 周末双休 五险一金 餐饮补贴 节日福利 年终奖金,本科
25,python开发工程师,北京志翔科技股份有限公司,五险一金 餐饮补贴 年终奖金 弹性工作 定期体检,本科
26,Java/Python开发工程师(OD),华为技术有限公司,五险一金 年终奖金 绩效奖金 弹性工作 定期体检 专业培训 员工旅游,本科
27,JAVA/Python开发工程师,江苏富士通通信技术有限公司,五险一金 补充医疗保险 员工旅游 餐饮补贴 绩效奖金 定期体检 交通补贴 提供住宿 年终奖金,本科
28,Python开发工程师,常州英睿人力资源服务有限公司,五险一金 职位晋升 年终奖金,本科
29,高级Python开发工程师,中材邦业（杭州）智能技术有限公司,五险一金 餐饮补贴 通讯补贴 年终奖金 定期体检 绩效奖金 员工旅游,本科
30,Python开发工程师,深圳市拓保软件有限公司,五险一金 免费班车 年终奖金 交通补贴 弹性工作,本科
31,Python后端开发工程师,魔芯（湖州）科技有限公司,,大专
32,Python后端开发工程师,螳螂慧视科技有限公司,五险一金 补充医疗保险 专业培训 出国机会 绩效奖金 年终奖金 弹性工作 定期体检,本科
33,Python开发工程师,广州市元艺珠宝有限公司,五险一金 年终奖金 周末双休 专业培训,本科
34,Python爬虫工程师,无锡车网信息技术有限公司,周末双休 带薪年假 节日福利 生日惊喜 下午茶,大专
35,中高级Python开发工程师（NLP团队）,小i机器人,,本科
36,Python开发工程师,百脑汇（中国）投资有限公司,五险一金 带薪年假 节日福利 加班补贴,大专
37,Python开发工程师,青岛嘉淼网络科技有限公司,五险一金 绩效奖金 年终奖金 早九晚六 周末双休 带薪年假15天,经验
38,Python中级开发工程师,上海治吉信息科技有限公司,五险一金 补充公积金 员工旅游 专业培训 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,本科
39,Python开发工程师,成都网安科技发展有限公司,五险一金 年终奖金 定期体检 周末双休 节假日礼品 生日礼品 每月聚餐,本科
40,Python开发工工程师,北京神州商通网络科技有限公司三门峡分公司,五险 周末双休 节假日休 绩效奖金 定期体检,大专
41,Python开发工程师,上海软中信息技术有限公司,五险一金 绩效奖金 定期体检 年终奖金 员工旅游 餐饮补贴,本科
42,Python开发工程师,北京融智国创科技有限公司,五险一金 定期体检,本科
43,Python开发工程师,南京易联阳光信息技术股份有限公司,五险一金 专业培训 年终奖金 周末双休 带薪年假 生日卡,本科
44,Python开发工程师,思佰益必智信息技术（大连）有限公司,,本科
45,全栈开发 （Java，python）,PwC 普华永道,,本科
46,Python软件开发工程师,普联软件股份有限公司,五险一金 员工旅游 定期体检 周末双休 带薪年假 法定节日 节日福利 补充医疗保险 通讯补贴 弹性工作,本科
47,Python开发工程师,博彦科技股份有限公司,,大专
48,Python开发工程师（成都）,上海华讯网络系统有限公司,五险一金 补充医疗保险 补充公积金 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,本科
